City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Guanare,VE,2021-01-17 01:20:29,9.0418,-69.7421,75.33,64,11,3.36
59,Puerto Ayora,EC,2021-01-17 01:18:41,-0.7393,-90.3518,75.0,93,63,1.99
60,Kruisfontein,ZA,2021-01-17 01:19:10,-34.0033,24.7314,66.0,79,0,3.0
61,Hermanus,ZA,2021-01-17 01:18:41,-34.4187,19.2345,61.0,89,0,4.81
62,Punta Arenas,CL,2021-01-17 01:18:41,-53.15,-70.9167,51.8,82,75,11.5
63,Cabo San Lucas,MX,2021-01-17 01:18:52,22.8909,-109.9124,75.2,33,1,5.75
64,Douentza,ML,2021-01-17 01:20:30,14.9951,-2.9517,64.49,24,90,6.73
65,Hambantota,LK,2021-01-17 01:18:51,6.1241,81.1185,71.6,100,40,3.44
66,Qaanaaq,GL,2021-01-17 01:18:42,77.484,-69.3632,4.3,82,21,5.48
67,Jaen,ES,2021-01-17 01:20:30,38.0,-3.5,34.68,82,0,5.44
68,Ribeira Grande,PT,2021-01-17 01:18:43,38.5167,-28.7,62.53,92,100,27.54
69,Rocha,UY,2021-01-17 01:20:30,-34.4833,-54.3333,66.88,93,89,6.71
70,Esperance,AU,2021-01-17 01:18:41,-33.8667,121.9,68.0,45,40,11.5
71,Chokurdakh,RU,2021-01-17 01:18:43,70.6333,147.9167,-17.09,88,100,12.84
72,Anchorage,US,2021-01-17 01:15:02,61.2181,-149.9003,32.0,74,90,3.44
73,Geraldton,AU,2021-01-17 01:19:12,-28.7667,114.6,80.6,47,90,20.71
74,The Pas,CA,2021-01-17 01:20:30,53.8251,-101.2541,17.6,86,90,12.66
75,Port Alfred,ZA,2021-01-17 01:17:09,-33.5906,26.891,64.99,93,38,3.0
76,Beloha,MG,2021-01-17 01:19:13,-25.1667,45.05,75.31,74,82,2.95
77,Coffs Harbour,AU,2021-01-17 01:19:55,-30.3,153.1333,82.99,54,21,8.05
78,Codrington,AU,2021-01-17 01:18:51,-38.2667,141.9667,61.65,53,3,10.29
79,Anloga,GH,2021-01-17 01:19:00,5.7947,0.8973,82.4,83,40,9.22
80,Nelson Bay,AU,2021-01-17 01:20:30,-32.7167,152.15,77.0,41,0,13.8
81,Menemen,TR,2021-01-17 01:20:30,38.6075,27.0694,37.4,81,40,11.5
82,Mar Del Plata,AR,2021-01-17 01:18:50,-38.0023,-57.5575,64.99,77,90,6.91
83,Necochea,AR,2021-01-17 01:19:09,-38.5473,-58.7368,62.01,80,77,13.58
84,Avarua,CK,2021-01-17 01:18:43,-21.2078,-159.775,86.0,70,59,8.05
85,Kismayo,SO,2021-01-17 01:20:30,-0.3582,42.5454,76.23,86,20,11.77
86,Sur,OM,2021-01-17 01:18:51,22.5667,59.5289,65.35,65,0,3.29
87,Tucumcari,US,2021-01-17 01:20:30,35.1717,-103.725,39.2,41,1,5.75
88,Pisco,PE,2021-01-17 01:14:19,-13.7,-76.2167,69.8,78,0,18.41
89,Korla,CN,2021-01-17 01:19:10,41.7597,86.1469,14.52,83,0,6.98
90,Benoy,TD,2021-01-17 01:20:30,8.9833,16.3199,69.49,24,6,4.68
91,Souillac,MU,2021-01-17 01:20:30,-20.5167,57.5167,78.8,83,40,10.36
92,Byron Bay,AU,2021-01-17 01:20:31,-28.65,153.6167,80.6,47,16,11.5
93,Pangnirtung,CA,2021-01-17 01:19:10,66.1451,-65.7125,12.0,91,100,1.07
94,Troy,US,2021-01-17 01:20:31,42.6056,-83.1499,32.0,80,90,8.05
95,Kolyvan,RU,2021-01-17 01:20:31,55.3053,82.7391,12.2,57,0,11.18
96,Busselton,AU,2021-01-17 01:18:42,-33.65,115.3333,73.99,48,0,3.0
97,Letlhakane,BW,2021-01-17 01:16:19,-21.4167,25.5833,72.43,83,100,9.22
98,Peace River,CA,2021-01-17 01:17:38,56.2501,-117.286,28.4,69,75,12.66
99,Provideniya,RU,2021-01-17 01:18:45,64.3833,-173.3,1.4,66,40,8.95
100,Saint George,US,2021-01-17 01:16:01,37.1041,-113.5841,57.2,28,1,9.22
101,Leglise,BE,2021-01-17 01:20:31,49.7999,5.5365,26.01,98,100,4.99
102,Pinawa,CA,2021-01-17 01:20:31,50.1489,-95.8811,10.65,96,51,3.22
103,Plettenberg Bay,ZA,2021-01-17 01:18:53,-34.0527,23.3716,66.33,79,73,7.45
104,Constitucion,CL,2021-01-17 01:18:57,-35.3333,-72.4167,59.31,72,0,14.79
105,Ponta Do Sol,PT,2021-01-17 01:18:43,32.6667,-17.1,55.0,64,35,1.99
106,Maku,IR,2021-01-17 01:20:31,39.2911,44.4521,32.09,83,15,3.69
107,Bundaberg,AU,2021-01-17 01:20:31,-24.85,152.35,89.01,54,40,9.22
108,Synya,RU,2021-01-17 01:20:31,65.3718,58.0387,-13.45,89,18,6.62
109,Namibe,AO,2021-01-17 01:18:41,-15.1961,12.1522,72.79,73,73,6.2
110,Sari,IR,2021-01-17 01:19:54,36.5633,53.0601,49.84,49,100,3.38
