City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Leningradskiy,RU,69.3833,178.4167,-25.06,84,33,6.11,scattered clouds
70,Vaini,TO,-21.2,-175.2,84.2,79,75,10.36,broken clouds
71,Hermanus,ZA,-34.4187,19.2345,66.0,83,5,1.99,clear sky
72,Cabo San Lucas,MX,22.8909,-109.9124,78.8,34,1,6.91,clear sky
73,Asuncion,PY,-25.3007,-57.6359,77.0,78,90,19.57,overcast clouds
74,Ayan,RU,56.45,138.1667,-26.09,72,0,12.93,clear sky
75,Bredasdorp,ZA,-34.5322,20.0403,68.0,77,75,9.22,broken clouds
76,Onega,RU,63.9061,38.1404,16.95,97,99,7.27,snow
77,Koshurnikovo,RU,54.1667,93.3,4.86,96,91,3.31,overcast clouds
78,Rocha,UY,-34.4833,-54.3333,71.28,56,15,15.82,few clouds
79,Lorengau,PG,-2.0226,147.2712,83.23,75,70,13.91,broken clouds
80,Birjand,IR,32.8663,59.2211,39.2,22,0,6.91,clear sky
81,Floro,NO,61.5996,5.0328,37.4,87,90,13.8,overcast clouds
82,Avarua,CK,-21.2078,-159.775,86.0,66,87,8.05,overcast clouds
83,Mahibadhoo,MV,3.7833,72.9667,81.32,75,0,10.27,clear sky
84,San Patricio,US,28.017,-97.5169,71.01,46,40,10.36,scattered clouds
85,Mizdah,LY,31.4451,12.9801,43.83,63,0,8.75,clear sky
86,Cockburn Town,TC,21.4612,-71.1419,80.6,65,40,5.75,scattered clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,82.4,65,75,20.71,broken clouds
88,Kalemie,CD,-5.9475,29.1947,69.6,85,100,3.91,light rain
89,Warrington,GB,53.3925,-2.5802,42.01,87,75,4.61,broken clouds
90,Deputatskiy,RU,69.3,139.9,-34.67,86,99,1.68,overcast clouds
91,Grimshaw,CA,56.1834,-117.6027,33.8,86,90,17.27,overcast clouds
92,Tallahassee,US,30.4383,-84.2807,57.99,33,75,5.75,broken clouds
93,Vrangel,RU,42.7297,133.0839,14.2,90,100,5.84,overcast clouds
94,Berlevag,NO,70.8578,29.0864,37.4,87,75,17.27,light rain
95,Ayorou,NE,14.7308,0.9174,77.59,16,83,8.48,broken clouds
96,Upernavik,GL,72.7868,-56.1549,10.11,83,48,7.43,scattered clouds
97,Kuching,MY,1.55,110.3333,77.0,94,40,5.75,scattered clouds
98,Whitehorse,CA,60.7161,-135.0538,30.99,86,75,18.41,snow
99,Qaanaaq,GL,77.484,-69.3632,-2.24,74,0,4.45,clear sky
100,Abadan,IR,30.3392,48.3043,57.2,100,33,2.3,mist
101,Bengkulu,ID,-3.8004,102.2655,75.45,85,100,5.3,light rain
102,Hasaki,JP,35.7333,140.8333,33.8,80,75,9.22,light rain
103,Touros,BR,-5.1989,-35.4608,80.6,69,20,10.36,few clouds
104,Khatanga,RU,71.9667,102.5,-24.54,81,0,13.82,clear sky
105,Yellowknife,CA,62.456,-114.3525,0.0,85,90,3.44,light snow
106,Cherskiy,RU,68.75,161.3,-31.88,84,92,2.3,overcast clouds
107,Jamestown,US,42.097,-79.2353,34.0,86,90,10.36,light snow
108,Ayr,GB,55.4627,-4.6339,45.0,93,75,20.71,broken clouds
109,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,9.22,few clouds
110,Santa Isabel,BR,-23.3156,-46.2214,86.0,57,75,8.05,broken clouds
111,Port Elizabeth,ZA,-33.918,25.5701,68.0,79,40,1.99,scattered clouds
112,Tolaga Bay,NZ,-38.3667,178.3,69.37,57,36,8.61,scattered clouds
113,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,75,6.91,light rain
114,Yulara,AU,-25.2406,130.9889,64.4,29,0,9.22,clear sky
115,Lazaro Cardenas,MX,17.9583,-102.2,82.35,66,93,7.4,overcast clouds
116,Pacific Grove,US,36.6177,-121.9166,75.2,33,1,8.05,clear sky
117,Itarema,BR,-2.9248,-39.9167,80.29,77,87,14.76,overcast clouds
118,Keflavik,IS,64.0049,-22.5624,33.8,93,90,16.11,overcast clouds
119,Kodiak,US,57.79,-152.4072,39.2,70,75,19.57,broken clouds
120,Saldanha,ZA,-33.0117,17.9442,66.2,72,0,6.91,clear sky
121,Castro,BR,-24.7911,-50.0119,66.49,95,100,9.37,light rain
122,Ponta Do Sol,PT,32.6667,-17.1,59.0,63,75,5.75,broken clouds
123,Asau,RO,46.4333,26.4,23.0,80,0,4.61,clear sky
124,Caninde De Sao Francisco,BR,-9.66,-37.7894,84.74,42,79,14.45,broken clouds
125,Chita,RU,52.0333,113.55,-31.0,68,0,1.01,clear sky
126,Dondo,MZ,-19.6094,34.7431,73.4,100,90,10.36,moderate rain
127,Kropotkin,RU,45.4375,40.5756,28.0,98,100,12.84,snow
128,Aklavik,CA,68.2191,-135.0107,-14.8,76,75,2.68,broken clouds
129,Dudinka,RU,69.4058,86.1778,-9.56,82,100,9.91,overcast clouds
130,Sangar,RU,63.9242,127.4739,-38.99,81,100,2.93,overcast clouds
131,Vardo,NO,70.3705,31.1107,33.8,93,40,12.66,light snow
132,Ketchikan,US,55.3422,-131.6461,44.6,93,75,9.22,light rain
133,Kieta,PG,-6.2167,155.6333,81.68,79,73,7.36,light rain
134,Kumluca,TR,36.3703,30.2869,47.75,51,13,7.63,few clouds
135,Picos,BR,-7.0769,-41.4669,85.68,45,75,3.27,broken clouds
136,La Ronge,CA,55.1001,-105.2842,5.0,85,90,10.36,light snow
137,Rodniki,RU,57.1051,41.7305,-11.54,90,42,2.28,scattered clouds
138,Iquique,CL,-20.2208,-70.1431,75.2,50,0,11.5,clear sky
139,Seoni,IN,22.0833,79.5333,59.0,35,0,3.6,clear sky
140,Antofagasta,CL,-23.65,-70.4,69.8,60,20,13.8,few clouds
141,Gaya,IN,24.7833,85.0,48.2,93,90,1.7,fog
142,Atar,MR,20.5169,-13.0499,65.7,22,96,13.49,overcast clouds
143,Kjollefjord,NO,70.9457,27.3465,37.4,81,75,11.5,light rain
144,Helong,CN,42.5397,128.9972,4.46,86,100,5.19,overcast clouds
145,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,93,90,24.16,light rain
146,Tasiilaq,GL,65.6145,-37.6368,21.2,68,0,3.44,clear sky
147,Faanui,PF,-16.4833,-151.75,81.34,76,0,14.18,clear sky
148,Todos Santos,MX,23.45,-110.2167,71.01,70,0,3.0,clear sky
149,Waverly,US,42.7392,-84.6208,34.0,86,90,5.75,light snow
150,Rudnyy,KZ,52.9594,63.1206,-2.2,78,0,13.42,clear sky
151,Alyangula,AU,-13.8483,136.4192,77.0,73,75,3.44,broken clouds
152,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,40,10.36,scattered clouds
153,Bathsheba,BB,13.2167,-59.5167,78.8,73,40,17.27,scattered clouds
154,Butaritari,KI,3.0707,172.7902,80.55,76,96,18.95,overcast clouds
155,Matara,LK,5.9485,80.5353,74.93,90,74,5.08,broken clouds
156,Airai,TL,-8.9266,125.4092,61.41,100,100,1.97,overcast clouds
157,Chake Chake,TZ,-5.2459,39.7666,78.01,84,99,9.6,overcast clouds
158,Tual,ID,-5.6667,132.75,82.8,80,100,15.7,moderate rain
159,Nikolskoye,RU,59.7035,30.7861,17.6,93,75,4.47,light snow
160,Talnakh,RU,69.4865,88.3972,-9.83,76,100,5.32,overcast clouds
161,Fairbanks,US,64.8378,-147.7164,7.0,85,1,1.83,clear sky
162,Saint-Francois,FR,46.4154,3.9054,35.01,93,90,3.6,overcast clouds
163,Teya,RU,60.3778,92.6267,-4.95,89,100,3.76,overcast clouds
164,Makaha,US,21.4694,-158.2175,73.4,100,90,6.91,moderate rain
165,Uige,AO,-7.6087,15.0613,67.84,82,100,0.56,overcast clouds
166,Naantali,FI,60.4674,22.0243,15.8,92,90,4.61,overcast clouds
167,Jalu,LY,29.0331,21.5482,50.65,77,0,8.16,clear sky
